partnership_id,batter_1,batter_2,batter_1_public_name,batter_2_public_name,partnership_runs,balls_faced,wicket_number,match_id,season,grade,opponent,innings,innings_id,batting_team,end_context,reconciliation_status,innings_scorecard_total,innings_reconstructed_total,reconciliation_difference,privacy_status,match_date,scorecard_url,source_detail
bbb:386f5e7d-0c8b-408c-83ac-443ce1c272b0:8faeb596-8450-4d52-b895-3b7ac0cc71da:1,raw_d36a9234_b2b2_44a0_9fa3_3e1527aa4b1c,baurel_d_mello,Harish Kumar,Baurel D'Mello,192,165,1,386f5e7d-0c8b-408c-83ac-443ce1c272b0,Summer 2024/25,02 - Jack Quick Shield,Cameron CC 1st XI,1,8faeb596-8450-4d52-b895-3b7ac0cc71da,Fiji Victorian CC 1st XI,Partnership ended: Caught,MATCHED,327,327,0,PUBLIC_PUBLIC,2024-12-07,https://play.cricket.com.au/match/386f5e7d-0c8b-408c-83ac-443ce1c272b0,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:6905f946-64a0-4f33-85e0-0d720095fac6:6bec5629-7268-4f33-8cea-e4755c5623f5:2,kieran_bhan,raw_7cccf3c2_52d5_4dfc_91c8_9664f27ac72b,Kieran Bhan,Jai Bhan,167,152,2,6905f946-64a0-4f33-85e0-0d720095fac6,Winter 2025,North Division,Brunswick,1,6bec5629-7268-4f33-8cea-e4755c5623f5,Fiji Victorian CC Winter XI,Partnership ended: Caught,SCORE_DIFFERENCE_ACCEPTED,239,238,-1,PUBLIC_PUBLIC,2025-06-21,https://play.cricket.com.au/match/6905f946-64a0-4f33-85e0-0d720095fac6,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:4db01962-99f7-4b10-a382-6f8f3623144b:48a93c0e-26d3-4306-8718-1def7b60b80c:3,raw_7cccf3c2_52d5_4dfc_91c8_9664f27ac72b,raw_f4eec6b0_c7ff_4771_b4f1_8ea5865e1186,Jai Bhan,Akshat Bodele,112,69,3,4db01962-99f7-4b10-a382-6f8f3623144b,Winter 2025,North Division,Jafari SC,1,48a93c0e-26d3-4306-8718-1def7b60b80c,Fiji Victorian CC Winter XI,Partnership ended: LBW,SCORE_DIFFERENCE_ACCEPTED,232,233,1,PUBLIC_PUBLIC,2025-07-26,https://play.cricket.com.au/match/4db01962-99f7-4b10-a382-6f8f3623144b,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:bf6c8392-5930-4434-9ae9-4ede49e0e1a1:19ed6dfc-ccad-45a7-81c9-77fd7568eea2:4,raw_6b74d336_b105_407c_b4ef_f68e2fba7862,raw_cefd9f7d_2787_4b4c_9a13_4e1d0d434ff8,Damandeep Sehra,Siddhesh Jitendrabhai Vadapalli,135,102,4,bf6c8392-5930-4434-9ae9-4ede49e0e1a1,Summer 2024/25,"05 - ""C"" Grade",Donath CC 2nd XI,1,19ed6dfc-ccad-45a7-81c9-77fd7568eea2,Fiji Victorian CC 3rd XI,Innings ended or partnership remained unbroken,MATCHED,156,156,0,PUBLIC_PUBLIC,2024-12-21,https://play.cricket.com.au/match/bf6c8392-5930-4434-9ae9-4ede49e0e1a1,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:16cad14f-a43b-44e7-ab6c-15914508cfd8:d0658942-0129-4294-a706-c77724cd9c81:5,raw_7512873c_b6b6_49fe_80ff_3733b5abd044,shivnyl_naidu,Mohaneesh Pitre,Shivnyl Naidu,94,163,5,16cad14f-a43b-44e7-ab6c-15914508cfd8,Summer 2024/25,"05 - ""C"" Grade",Old Ivanhoe Grammarians CC 3rd XI,1,d0658942-0129-4294-a706-c77724cd9c81,Fiji Victorian CC 3rd XI,Partnership ended: Caught,MATCHED,148,148,0,PUBLIC_PUBLIC,2024-11-16,https://play.cricket.com.au/match/16cad14f-a43b-44e7-ab6c-15914508cfd8,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:e7d82264-d76f-41f6-b938-165cd8e1ffa3:93f4b27c-868c-4059-b84e-73c3c10c7028:6,predheesh_valayil_sivanandan,danny_singh,Predheesh Valayil Sivanandan,Danny Singh,114,68,6,e7d82264-d76f-41f6-b938-165cd8e1ffa3,Summer 2024/25,03 - Jack Kelly Shield,Northern Socials CC 1st XI,1,93f4b27c-868c-4059-b84e-73c3c10c7028,Fiji Victorian CC 2nd XI,Partnership ended: Caught,MATCHED,166,166,0,PUBLIC_PUBLIC,2024-12-21,https://play.cricket.com.au/match/e7d82264-d76f-41f6-b938-165cd8e1ffa3,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:57c3ff16-7f4b-46e1-a8fa-a255ff6d7ebb:9c31a7a1-12fb-4ba1-9176-0f075fdeb7d8:7,raw_7512873c_b6b6_49fe_80ff_3733b5abd044,vinay_sharma,Mohaneesh Pitre,Vinay Sharma,67,57,7,57c3ff16-7f4b-46e1-a8fa-a255ff6d7ebb,Winter 2026,North Division,Brunswick,1,9c31a7a1-12fb-4ba1-9176-0f075fdeb7d8,Fiji Victorian CC Winter XI,Partnership ended: Caught,SCORE_DIFFERENCE_ACCEPTED,253,246,-7,PUBLIC_PUBLIC,2026-05-02,https://play.cricket.com.au/match/57c3ff16-7f4b-46e1-a8fa-a255ff6d7ebb,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:4f45b70d-dffa-4047-aebe-a38da69c9990:cf847e4d-5a7f-4152-95fd-f8e9b2994e56:8,vishnu_para,raw_eeca13da_a6ad_4c73_ac3f_3be2115d9e73,Vishnu Para,Anish Jaiswal,107,66,8,4f45b70d-dffa-4047-aebe-a38da69c9990,Winter 2022,North Division - SUNDAY,Deccan Chargers,1,cf847e4d-5a7f-4152-95fd-f8e9b2994e56,Fiji Victorian,Partnership ended: Caught,MATCHED,193,193,0,PUBLIC_PUBLIC,2022-05-08,https://play.cricket.com.au/match/4f45b70d-dffa-4047-aebe-a38da69c9990,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:9fcbcf5a-fb12-41f5-bec0-83c451dd87e9:302de7a2-89c4-4a10-9286-18e72412be53:9,raw_d7f93a87_6b05_4830_a524_41457fd00603,raw_360868ba_5d2a_4f9f_9f3a_fff5756f3f85,Shaun Vikash,Shandil Bhan,58,38,9,9fcbcf5a-fb12-41f5-bec0-83c451dd87e9,Summer 2025/26,01 - Jika Shield,Olympic Colts CC 1st XI,1,302de7a2-89c4-4a10-9286-18e72412be53,Fiji Victorian CC 1st XI,Partnership ended: Caught,MATCHED,305,305,0,PUBLIC_PUBLIC,2026-03-07,https://play.cricket.com.au/match/9fcbcf5a-fb12-41f5-bec0-83c451dd87e9,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:57c3ff16-7f4b-46e1-a8fa-a255ff6d7ebb:9c31a7a1-12fb-4ba1-9176-0f075fdeb7d8:10,vinay_sharma,raw_d1ed36b2_499d_4b65_95a3_6f3f51177415,Vinay Sharma,Armaan Datta,50,26,10,57c3ff16-7f4b-46e1-a8fa-a255ff6d7ebb,Winter 2026,North Division,Brunswick,1,9c31a7a1-12fb-4ba1-9176-0f075fdeb7d8,Fiji Victorian CC Winter XI,Innings ended or partnership remained unbroken,SCORE_DIFFERENCE_ACCEPTED,253,246,-7,PUBLIC_PUBLIC,2026-05-02,https://play.cricket.com.au/match/57c3ff16-7f4b-46e1-a8fa-a255ff6d7ebb,Verified PlayCricket chronological ball-by-ball deliveries.
