partnership_id,batter_1,batter_2,batter_1_public_name,batter_2_public_name,partnership_runs,balls_faced,wicket_number,match_id,season,grade,opponent,innings,innings_id,batting_team,end_context,reconciliation_status,innings_scorecard_total,innings_reconstructed_total,reconciliation_difference,privacy_status,match_date,scorecard_url,source_detail
bbb:e8cd9e49-70e2-480f-84b1-bbfc86e6297d:1f658531-8318-4212-ae11-f1b4418683be:1,raw_c3a31191_6c5e_438e_9288_354845031832,raw_f6dd9552_fbc5_4490_ac27_b50ff948f8f5,Abcin Thomas,Priyanshu Tomar,0,8,1,e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Winter 2026,North Division,Brunswick,1,1f658531-8318-4212-ae11-f1b4418683be,Fiji Victorian CC Winter XI,Partnership ended: Caught,SCORE_DIFFERENCE_ACCEPTED,130,128,-2,PUBLIC_PUBLIC,2026-08-01,https://play.cricket.com.au/match/e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:e8cd9e49-70e2-480f-84b1-bbfc86e6297d:1f658531-8318-4212-ae11-f1b4418683be:10,raw_d1ed36b2_499d_4b65_95a3_6f3f51177415,mayur_mohan,Armaan Datta,Mayur Mohan,1,4,10,e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Winter 2026,North Division,Brunswick,1,1f658531-8318-4212-ae11-f1b4418683be,Fiji Victorian CC Winter XI,Partnership ended: LBW,SCORE_DIFFERENCE_ACCEPTED,130,128,-2,PUBLIC_PUBLIC,2026-08-01,https://play.cricket.com.au/match/e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:e8cd9e49-70e2-480f-84b1-bbfc86e6297d:1f658531-8318-4212-ae11-f1b4418683be:2,raw_d1ed36b2_499d_4b65_95a3_6f3f51177415,raw_c3a31191_6c5e_438e_9288_354845031832,Armaan Datta,Abcin Thomas,27,42,2,e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Winter 2026,North Division,Brunswick,1,1f658531-8318-4212-ae11-f1b4418683be,Fiji Victorian CC Winter XI,Partnership ended: Caught,SCORE_DIFFERENCE_ACCEPTED,130,128,-2,PUBLIC_PUBLIC,2026-08-01,https://play.cricket.com.au/match/e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:e8cd9e49-70e2-480f-84b1-bbfc86e6297d:1f658531-8318-4212-ae11-f1b4418683be:3,raw_7cccf3c2_52d5_4dfc_91c8_9664f27ac72b,raw_d1ed36b2_499d_4b65_95a3_6f3f51177415,Jai Bhan,Armaan Datta,48,64,3,e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Winter 2026,North Division,Brunswick,1,1f658531-8318-4212-ae11-f1b4418683be,Fiji Victorian CC Winter XI,Partnership ended: Caught,SCORE_DIFFERENCE_ACCEPTED,130,128,-2,PUBLIC_PUBLIC,2026-08-01,https://play.cricket.com.au/match/e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:e8cd9e49-70e2-480f-84b1-bbfc86e6297d:1f658531-8318-4212-ae11-f1b4418683be:4,vinay_sharma,raw_d1ed36b2_499d_4b65_95a3_6f3f51177415,Vinay Sharma,Armaan Datta,12,10,4,e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Winter 2026,North Division,Brunswick,1,1f658531-8318-4212-ae11-f1b4418683be,Fiji Victorian CC Winter XI,Partnership ended: Caught,SCORE_DIFFERENCE_ACCEPTED,130,128,-2,PUBLIC_PUBLIC,2026-08-01,https://play.cricket.com.au/match/e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:e8cd9e49-70e2-480f-84b1-bbfc86e6297d:1f658531-8318-4212-ae11-f1b4418683be:5,janaka_wijayakoon,raw_360868ba_5d2a_4f9f_9f3a_fff5756f3f85,Janaka Wijayakoon,Shandil Bhan,16,18,5,e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Winter 2026,North Division,Brunswick,1,1f658531-8318-4212-ae11-f1b4418683be,Fiji Victorian CC Winter XI,Partnership ended: Caught,SCORE_DIFFERENCE_ACCEPTED,130,128,-2,PUBLIC_PUBLIC,2026-08-01,https://play.cricket.com.au/match/e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:e8cd9e49-70e2-480f-84b1-bbfc86e6297d:1f658531-8318-4212-ae11-f1b4418683be:6,raw_7512873c_b6b6_49fe_80ff_3733b5abd044,janaka_wijayakoon,Mohaneesh Pitre,Janaka Wijayakoon,1,4,6,e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Winter 2026,North Division,Brunswick,1,1f658531-8318-4212-ae11-f1b4418683be,Fiji Victorian CC Winter XI,Partnership ended: Bowled,SCORE_DIFFERENCE_ACCEPTED,130,128,-2,PUBLIC_PUBLIC,2026-08-01,https://play.cricket.com.au/match/e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:e8cd9e49-70e2-480f-84b1-bbfc86e6297d:1f658531-8318-4212-ae11-f1b4418683be:7,ashish_sharma,raw_7512873c_b6b6_49fe_80ff_3733b5abd044,Ashish Sharma,Mohaneesh Pitre,0,6,7,e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Winter 2026,North Division,Brunswick,1,1f658531-8318-4212-ae11-f1b4418683be,Fiji Victorian CC Winter XI,Partnership ended: Caught,SCORE_DIFFERENCE_ACCEPTED,130,128,-2,PUBLIC_PUBLIC,2026-08-01,https://play.cricket.com.au/match/e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:e8cd9e49-70e2-480f-84b1-bbfc86e6297d:1f658531-8318-4212-ae11-f1b4418683be:8,raw_e76d9035_6b7f_48f7_8b69_e8b983e82080,ashish_sharma,Jayasuriya Sathiaseelan,Ashish Sharma,8,15,8,e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Winter 2026,North Division,Brunswick,1,1f658531-8318-4212-ae11-f1b4418683be,Fiji Victorian CC Winter XI,Partnership ended: Bowled,SCORE_DIFFERENCE_ACCEPTED,130,128,-2,PUBLIC_PUBLIC,2026-08-01,https://play.cricket.com.au/match/e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:e8cd9e49-70e2-480f-84b1-bbfc86e6297d:1f658531-8318-4212-ae11-f1b4418683be:9,mayur_mohan,ashish_sharma,Mayur Mohan,Ashish Sharma,15,14,9,e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Winter 2026,North Division,Brunswick,1,1f658531-8318-4212-ae11-f1b4418683be,Fiji Victorian CC Winter XI,Partnership ended: Bowled,SCORE_DIFFERENCE_ACCEPTED,130,128,-2,PUBLIC_PUBLIC,2026-08-01,https://play.cricket.com.au/match/e8cd9e49-70e2-480f-84b1-bbfc86e6297d,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:ac3b9472-f704-4b81-8bc4-09607ec79d62:7d307882-017b-480a-b960-4088ba980e79:1,raw_c3a31191_6c5e_438e_9288_354845031832,raw_f6dd9552_fbc5_4490_ac27_b50ff948f8f5,Abcin Thomas,Priyanshu Tomar,38,36,1,ac3b9472-f704-4b81-8bc4-09607ec79d62,Winter 2026,North Division,North Alphington Sat Senior Winter Cricket,1,7d307882-017b-480a-b960-4088ba980e79,Fiji Victorian CC Winter XI,Partnership ended: Caught,MATCHED,179,179,0,PUBLIC_PUBLIC,2026-07-25,https://play.cricket.com.au/match/ac3b9472-f704-4b81-8bc4-09607ec79d62,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:ac3b9472-f704-4b81-8bc4-09607ec79d62:7d307882-017b-480a-b960-4088ba980e79:10,raw_c3a31191_6c5e_438e_9288_354845031832,raw_e76d9035_6b7f_48f7_8b69_e8b983e82080,Abcin Thomas,Jayasuriya Sathiaseelan,0,2,10,ac3b9472-f704-4b81-8bc4-09607ec79d62,Winter 2026,North Division,North Alphington Sat Senior Winter Cricket,1,7d307882-017b-480a-b960-4088ba980e79,Fiji Victorian CC Winter XI,Partnership ended: Bowled,MATCHED,179,179,0,PUBLIC_PUBLIC,2026-07-25,https://play.cricket.com.au/match/ac3b9472-f704-4b81-8bc4-09607ec79d62,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:ac3b9472-f704-4b81-8bc4-09607ec79d62:7d307882-017b-480a-b960-4088ba980e79:2,raw_c3a31191_6c5e_438e_9288_354845031832,raw_d1ed36b2_499d_4b65_95a3_6f3f51177415,Abcin Thomas,Armaan Datta,11,20,2,ac3b9472-f704-4b81-8bc4-09607ec79d62,Winter 2026,North Division,North Alphington Sat Senior Winter Cricket,1,7d307882-017b-480a-b960-4088ba980e79,Fiji Victorian CC Winter XI,Partnership ended: Caught,MATCHED,179,179,0,PUBLIC_PUBLIC,2026-07-25,https://play.cricket.com.au/match/ac3b9472-f704-4b81-8bc4-09607ec79d62,Verified PlayCricket chronological ball-by-ball deliveries.
