partnership_id,batter_1,batter_2,batter_1_public_name,batter_2_public_name,partnership_runs,balls_faced,wicket_number,match_id,season,grade,opponent,innings,innings_id,batting_team,end_context,reconciliation_status,innings_scorecard_total,innings_reconstructed_total,reconciliation_difference,privacy_status,match_date,scorecard_url,source_detail
bbb:76971ca8-d71f-4837-ac22-54c67a3ab757:230525e5-2130-4671-8868-096dfe59e271:1,raw_e3188c42_2e91_4155_ad54_eeeb1c79e9c7,raw_45c079e9_6815_485e_bbd0_fd2320b8a63a,Jarrod Mazurkiewicz,Nick Condylios,185,212,1,76971ca8-d71f-4837-ac22-54c67a3ab757,Summer 2023/24,First Grade (The RB Clark Cup),Pennant Hills 1st Grade,1,230525e5-2130-4671-8868-096dfe59e271,Georges River 1st Grade,Partnership ended: Caught,SCORE_DIFFERENCE_ACCEPTED,283,290,7,PUBLIC_PUBLIC,2023-10-21,https://play.cricket.com.au/match/76971ca8-d71f-4837-ac22-54c67a3ab757,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:1da5e521-4f7a-4165-bc97-322e601b1b3a:cfae28cb-7f32-4ec7-b6f3-ed8cbf6c5e2c:2,raw_a6d08818_bc3f_4c99_8d99_9b4b6419a5cb,raw_cf1c0dd3_e048_4c61_a31b_d17614e9b45c,Christopher Mcarthur,James Kirkness,183,174,2,1da5e521-4f7a-4165-bc97-322e601b1b3a,Summer 2014/15,Frank Gray Shield,Lane Cove,1,cfae28cb-7f32-4ec7-b6f3-ed8cbf6c5e2c,Georges River,Partnership ended: Run Out,SCORE_DIFFERENCE_ACCEPTED,288,277,-11,PUBLIC_PUBLIC,2015-02-08,https://play.cricket.com.au/match/1da5e521-4f7a-4165-bc97-322e601b1b3a,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:71f34844-6b42-458a-ab3e-8dd24a8902be:5118cb04-5489-4e4a-9307-d448bcf8c895:3,raw_1aef0626_d496_4453_84ab_ddaf2a8e37d9,raw_45c079e9_6815_485e_bbd0_fd2320b8a63a,Michael Labb,Nick Condylios,154,267,3,71f34844-6b42-458a-ab3e-8dd24a8902be,Summer 2024/25,Second Grade (The SJ Mayne Trophy),Warringah 2nd Grade,1,5118cb04-5489-4e4a-9307-d448bcf8c895,Georges River 2nd Grade,Partnership ended: Caught,MATCHED,261,261,0,PUBLIC_PUBLIC,2025-03-08,https://play.cricket.com.au/match/71f34844-6b42-458a-ab3e-8dd24a8902be,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:e15a6d92-9f27-41e3-9eae-b180e4d8a388:3e5c3f31-6b64-4963-b6c5-3247c06cc6ab:4,raw_b4c97b7a_15e6_402a_b93c_c59a37a5b524,raw_9e6b7f35_56ec_4167_9f1e_ab090394eb30,Shahzaib Cheema,Syed Haider Bukhari,140,126,4,e15a6d92-9f27-41e3-9eae-b180e4d8a388,Summer 2024/25,Fifth Grade (The Tim Creer Cup),Mt Pritchard Southern Districts 5th Grade,1,3e5c3f31-6b64-4963-b6c5-3247c06cc6ab,Georges River 5th Grade,Partnership ended: Caught,MATCHED,289,289,0,PUBLIC_PUBLIC,2025-02-02,https://play.cricket.com.au/match/e15a6d92-9f27-41e3-9eae-b180e4d8a388,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:55ad78e4-fabc-4074-8fa8-d0412012199d:014486a9-dc5f-44f0-a0ac-4d7724bddf90:5,raw_dc2737d4_8751_4134_ba3b_3d6e255e2f2a,raw_c4803dea_7e89_4f40_a2bd_8679e0d214bf,Ryan Croom,Joe Walker,140,121,5,55ad78e4-fabc-4074-8fa8-d0412012199d,Summer 2024/25,First Grade (The RB Clark Cup),Auburn 1st Grade,1,014486a9-dc5f-44f0-a0ac-4d7724bddf90,Georges River 1st Grade,Partnership ended: Caught,MATCHED,273,273,0,PUBLIC_PUBLIC,2025-02-22,https://play.cricket.com.au/match/55ad78e4-fabc-4074-8fa8-d0412012199d,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:068e49f0-32cb-47e0-983c-691e52449f7e:27e303b6-72c2-4a24-aea1-3c7725ed425a:6,raw_b107e4db_b871_4bbb_bb03_e3d27674c1fc,raw_a6d08818_bc3f_4c99_8d99_9b4b6419a5cb,Robert Henriques,Christopher Mcarthur,106,90,6,068e49f0-32cb-47e0-983c-691e52449f7e,Summer 2023/24,First Grade (The RB Clark Cup),North West Sydney 1st Grade,1,27e303b6-72c2-4a24-aea1-3c7725ed425a,Georges River 1st Grade,Partnership ended: Caught,MATCHED,286,286,0,PUBLIC_PUBLIC,2024-01-13,https://play.cricket.com.au/match/068e49f0-32cb-47e0-983c-691e52449f7e,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:b336bb68-601f-4981-b277-f5b95a636b3b:d3a24c54-5daf-4d24-8a86-26307699dd0a:7,raw_632f6261_fe2d_42de_b2e6_611786607348,raw_63cb926d_0c44_4d0e_bea9_46250d310db8,Ben Saunders,Liam Sparke,96,94,7,b336bb68-601f-4981-b277-f5b95a636b3b,Summer 2016/17,Frank Gray Shield,Auburn,1,d3a24c54-5daf-4d24-8a86-26307699dd0a,Georges River,Partnership ended: LBW,MATCHED,296,296,0,PUBLIC_PUBLIC,2017-01-29,https://play.cricket.com.au/match/b336bb68-601f-4981-b277-f5b95a636b3b,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:c73e3822-abbe-48fc-99ea-20bf29ed2011:ccf5b273-6183-4f03-ad05-72f270879c12:8,raw_039b3a80_b6e1_4efb_982b_396728c3b5b5,raw_4a77be0b_5c30_4e7f_bdac_92fb3098adfe,Aaron Johnston,Babar Chaudhry,119,166,8,c73e3822-abbe-48fc-99ea-20bf29ed2011,Summer 2023/24,Second Grade (The SJ Mayne Trophy),Auburn 2nd Grade,1,ccf5b273-6183-4f03-ad05-72f270879c12,Georges River 2nd Grade,Partnership ended: LBW,SCORE_DIFFERENCE_ACCEPTED,294,305,11,PUBLIC_PUBLIC,2024-03-09,https://play.cricket.com.au/match/c73e3822-abbe-48fc-99ea-20bf29ed2011,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:984fd5bd-07ba-4ff5-b2a9-1e69e1588583:246002cd-2352-4d04-9478-f4f25a5bea9a:9,raw_5bb45db2_46e1_4ad9_9870_ad33f0bc6d1a,,Mohammed Ismail,Private player,94,84,9,984fd5bd-07ba-4ff5-b2a9-1e69e1588583,Summer 2025/26,Chappelow Cup,Pennant Hills CC Pumas,1,246002cd-2352-4d04-9478-f4f25a5bea9a,Georges River Stingrays,Partnership ended: Bowled,MATCHED,175,175,0,PUBLIC_PRIVATE,2025-11-16,https://play.cricket.com.au/match/984fd5bd-07ba-4ff5-b2a9-1e69e1588583,Verified PlayCricket chronological ball-by-ball deliveries.
bbb:5093f506-96fd-408d-bdf2-9c6f4c7fe050:899c7ad1-bffb-4500-a9c1-fc8c0ffdf56e:10,raw_75a92b2d_b45e_451c_ae55_5e4aaa584259,raw_c8fd996a_c5c9_4cb2_9ce8_24494df3324f,Sri Sakthi Kumaran,Dinesh Kumar Velsam,64,69,10,5093f506-96fd-408d-bdf2-9c6f4c7fe050,Summer 2023/24,Chappelow Cup,Pennant Hills CC Panthers,1,899c7ad1-bffb-4500-a9c1-fc8c0ffdf56e,GRDCC,Partnership ended: Caught,SCORE_DIFFERENCE_ACCEPTED,153,211,58,PUBLIC_PUBLIC,2023-10-15,https://play.cricket.com.au/match/5093f506-96fd-408d-bdf2-9c6f4c7fe050,Verified PlayCricket chronological ball-by-ball deliveries.
