player_id,player_name,short_name,club,team_name,grade_name,season_id,season,season_start_date,competition_name,raw_player_id,raw_player_name,source_system,source_file,source_sheet,source_row,data_confidence,matches,battingInnings,battingAggregate,battingNotOuts,battingBallsFaced,batting50s,batting100s,batting0s,battingHighScore,isBattingHSNotOut,battingAverage,battingStrikeRate,battingFours,battingSixes,battingMinutes,team_id,grade_id,canonical_player_id,canonical_player_name
excel_8cf80dc5495e1f63,A Ashley,A Ashley,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_8cf80dc5495e1f63,A Ashley,excel,bexley_stats_spreadsheets.xlsx,1929-30,4,medium,,4,30,,,,,,,False,7.5,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_a9d435a3de7ef59f,J Bannenburg,J Bannenburg,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_a9d435a3de7ef59f,J Bannenburg,excel,bexley_stats_spreadsheets.xlsx,1929-30,5,high,,2,19,,,,,,,False,9.5,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_be53577923994508,R Bartley,R Bartley,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_be53577923994508,R Bartley,excel,bexley_stats_spreadsheets.xlsx,1929-30,6,high,,8,7,,,,,,,False,0.875,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_28a93b2eb7854e3a,L Duly,L Duly,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_28a93b2eb7854e3a,L Duly,excel,bexley_stats_spreadsheets.xlsx,1929-30,7,high,,23,276,2,,,,,36,False,13.14285714,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_f45dd49bde489d09,Percy Eldridge,P Eldridge,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_f45dd49bde489d09,Percy Eldridge,excel,bexley_stats_spreadsheets.xlsx,1929-30,8,medium,,18,144,2,,,,,33,False,9,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_c4349404458c12dc,N Ford,N Ford,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_c4349404458c12dc,N Ford,excel,bexley_stats_spreadsheets.xlsx,1929-30,10,medium,,3,41,,,,,,,False,13.66666667,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_e48308d6760f6732,F Hurst,F Hurst,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_e48308d6760f6732,F Hurst,excel,bexley_stats_spreadsheets.xlsx,1929-30,11,medium,,13,120,3,,,,,55,True,12,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_ed3bc564f6bd664c,W Ives,W Ives,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_ed3bc564f6bd664c,W Ives,excel,bexley_stats_spreadsheets.xlsx,1929-30,12,high,,2,3,,,,,,,False,1.5,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_d74c9e7d30dd1308,M Jones,M Jones,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_d74c9e7d30dd1308,M Jones,excel,bexley_stats_spreadsheets.xlsx,1929-30,14,high,,23,410,2,,,,,73,False,19.52380952,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_823926a5136b022f,J Kenney,J Kenney,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_823926a5136b022f,J Kenney,excel,bexley_stats_spreadsheets.xlsx,1929-30,15,high,,2,12,,,,,,,False,6,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_de0ada41d95afb11,W Lofberg,W Lofberg,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_de0ada41d95afb11,W Lofberg,excel,bexley_stats_spreadsheets.xlsx,1929-30,16,medium,,7,23,,,,,,,False,3.285714286,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
excel_cf23aa0f470d3f56,T O'neill,T O'neill,Georges River DCC,Georges River DCC,Historical club summary,excel_1929_30,Summer 1929/30,1929-07-01T00:00:00.0000000+00:00,Historical Excel,excel_cf23aa0f470d3f56,T O'neill,excel,bexley_stats_spreadsheets.xlsx,1929-30,17,high,,20,127,3,,,,,25,False,7.470588235,,,,,excel_georges_river_dcc,excel_historical_club_summary,,
