source_file,source_sheet,source_row,player_name,season,team_or_grade,metric_group,metric_name,metric_value,issue_type,severity,reason,action,data_confidence
bexley_stats_spreadsheets.xlsx,1930-31,54,14 5,Summer 1930/31,Historical club summary,batting,battingNotOuts,4.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1931-32,53,13 2,Summer 1931/32,Historical club summary,batting,battingNotOuts,5.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1934-35,52,14 4,Summer 1934/35,Historical club summary,batting,battingNotOuts,3.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1935-36,56,11 4,Summer 1935/36,Historical club summary,batting,battingNotOuts,3.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1936-37,55,12 4,Summer 1936/37,Historical club summary,batting,battingNotOuts,7.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1939-40,67,12 3,Summer 1939/40,Historical club summary,batting,battingNotOuts,2.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1940-41,56,13 3,Summer 1940/41,Historical club summary,batting,battingNotOuts,6.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1940-41,60,13 3,Summer 1940/41,Historical club summary,batting,battingNotOuts,4.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1944-45,65,13 2,Summer 1944/45,Historical club summary,batting,battingNotOuts,5.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1947-48,60,14 2,Summer 1947/48,Historical club summary,batting,battingNotOuts,5.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1948-49,45,14 1,Summer 1948/49,Historical club summary,batting,battingNotOuts,2.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1949-50,79,15 5,Summer 1949/50,Historical club summary,batting,battingNotOuts,2.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1949-50,83,15 5,Summer 1949/50,Historical club summary,batting,battingNotOuts,3.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1950-51,77,14 2,Summer 1950/51,Historical club summary,batting,battingNotOuts,5.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
bexley_stats_spreadsheets.xlsx,1951-52,78,15 1,Summer 1951/52,Historical club summary,batting,battingNotOuts,7.0,invalid,high,Not-outs cannot exceed innings.,excluded_from_records,low
