source_file,source_sheet,source_row,player_name,season,metric_group,check_name,source_value,expected_value,difference,tolerance,issue_flag,severity,reason,action
bexley_stats_spreadsheets.xlsx,1929-30,4,A Ashley,Summer 1929/30,bowling,bowling_average_reconciliation,31.0,31.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,4,A Ashley,Summer 1929/30,bowling,high_numerator_zero_overs,31.0,0,31.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,6,R Bartley,Summer 1929/30,bowling,bowling_average_reconciliation,33.5,33.5,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,7,L Duly,Summer 1929/30,batting,high_score_not_above_total_runs,36.0,276.0,-240.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,7,L Duly,Summer 1929/30,batting,not_outs_not_above_innings,2.0,23.0,-21.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,7,L Duly,Summer 1929/30,batting,batting_average_reconciliation,13.14285714,13.14,0.0029,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,8,Percy Eldridge,Summer 1929/30,batting,high_score_not_above_total_runs,33.0,144.0,-111.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,8,Percy Eldridge,Summer 1929/30,batting,not_outs_not_above_innings,2.0,18.0,-16.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,8,Percy Eldridge,Summer 1929/30,batting,batting_average_reconciliation,9.0,9.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,8,Percy Eldridge,Summer 1929/30,bowling,bowling_average_reconciliation,158.0,158.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,8,Percy Eldridge,Summer 1929/30,bowling,high_numerator_zero_overs,158.0,0,158.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,9,W Fleming,Summer 1929/30,batting,high_score_not_above_total_runs,82.0,669.0,-587.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,9,W Fleming,Summer 1929/30,batting,not_outs_not_above_innings,1.0,23.0,-22.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,9,W Fleming,Summer 1929/30,batting,batting_average_reconciliation,30.0,30.41,-0.41,0.15,yes,medium,Source batting average does not reconcile with runs / dismissals.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,9,W Fleming,Summer 1929/30,bowling,high_numerator_zero_wickets,35.0,0,35.0,0,yes,medium,Runs conceded recorded with zero wickets; average cannot be reconciled.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,9,W Fleming,Summer 1929/30,bowling,high_numerator_zero_overs,35.0,0,35.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,10,N Ford,Summer 1929/30,bowling,bowling_average_reconciliation,12.3,12.3,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,10,N Ford,Summer 1929/30,bowling,high_numerator_zero_overs,123.0,0,123.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,11,F Hurst,Summer 1929/30,batting,high_score_not_above_total_runs,55.0,120.0,-65.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,11,F Hurst,Summer 1929/30,batting,not_outs_not_above_innings,3.0,13.0,-10.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,11,F Hurst,Summer 1929/30,batting,batting_average_reconciliation,12.0,12.0,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,11,F Hurst,Summer 1929/30,bowling,bowling_average_reconciliation,19.6,19.6,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,11,F Hurst,Summer 1929/30,bowling,high_numerator_zero_overs,196.0,0,196.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,13,E Jones,Summer 1929/30,bowling,high_numerator_zero_wickets,11.0,0,11.0,0,yes,medium,Runs conceded recorded with zero wickets; average cannot be reconciled.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,13,E Jones,Summer 1929/30,bowling,high_numerator_zero_overs,11.0,0,11.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,14,M Jones,Summer 1929/30,batting,high_score_not_above_total_runs,73.0,410.0,-337.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,14,M Jones,Summer 1929/30,batting,not_outs_not_above_innings,2.0,23.0,-21.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,14,M Jones,Summer 1929/30,batting,batting_average_reconciliation,19.52380952,19.52,0.0038,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,14,M Jones,Summer 1929/30,bowling,bowling_average_reconciliation,16.12903226,16.13,-0.001,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,16,W Lofberg,Summer 1929/30,bowling,bowling_average_reconciliation,34.66666667,34.67,-0.0033,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,16,W Lofberg,Summer 1929/30,bowling,high_numerator_zero_overs,104.0,0,104.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,17,T O'neill,Summer 1929/30,batting,high_score_not_above_total_runs,25.0,127.0,-102.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,17,T O'neill,Summer 1929/30,batting,not_outs_not_above_innings,3.0,20.0,-17.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,17,T O'neill,Summer 1929/30,batting,batting_average_reconciliation,7.470588235,7.47,0.0006,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,17,T O'neill,Summer 1929/30,bowling,bowling_average_reconciliation,23.83870968,23.84,-0.0013,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,17,T O'neill,Summer 1929/30,bowling,bowling_runs_not_wickets_semantic_check,739.0,23.84,715.16,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,18,E Reid,Summer 1929/30,batting,high_score_not_above_total_runs,96.0,631.0,-535.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,18,E Reid,Summer 1929/30,batting,not_outs_not_above_innings,1.0,18.0,-17.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,18,E Reid,Summer 1929/30,batting,batting_average_reconciliation,37.11764706,37.12,-0.0024,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,18,E Reid,Summer 1929/30,bowling,bowling_average_reconciliation,56.5,56.5,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,18,E Reid,Summer 1929/30,bowling,high_numerator_zero_overs,113.0,0,113.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,19,F Richards,Summer 1929/30,batting,high_score_not_above_total_runs,29.0,136.0,-107.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,19,F Richards,Summer 1929/30,bowling,bowling_average_reconciliation,23.5,23.5,0.0,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,20,C Robinson,Summer 1929/30,batting,high_score_not_above_total_runs,99.0,193.0,-94.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,20,C Robinson,Summer 1929/30,batting,not_outs_not_above_innings,2.0,13.0,-11.0,0,,,,
bexley_stats_spreadsheets.xlsx,1929-30,20,C Robinson,Summer 1929/30,batting,batting_average_reconciliation,17.54545455,17.55,-0.0045,0.15,,,,
bexley_stats_spreadsheets.xlsx,1929-30,20,C Robinson,Summer 1929/30,bowling,high_numerator_zero_wickets,53.0,0,53.0,0,yes,medium,Runs conceded recorded with zero wickets; average cannot be reconciled.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,20,C Robinson,Summer 1929/30,bowling,high_numerator_zero_overs,53.0,0,53.0,0,yes,high,Runs conceded with zero overs/balls indicates a section or denominator problem.,excluded_from_records
bexley_stats_spreadsheets.xlsx,1929-30,21,A Seddon,Summer 1929/30,batting,high_score_not_above_total_runs,46.0,233.0,-187.0,0,,,,
