season,season_sort_key,player_name,team,grade,matches,innings,not_outs,runs,high_score,average,strike_rate,30s,50s,100s,ducks,fours,sixes,source_sheet,source_row,source_file,source_system,data_confidence,qa_status
Summer 1929/30,192900,15 5,Georges River DCC,Historical club summary,2,5,3,,58,,,,,,,,,1929-30,58,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,A Ashley,Georges River DCC,Historical club summary,,4,,30,,7.5,,,,,,,,1929-30,4,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1929/30,192900,A Seddon,Georges River DCC,Historical club summary,,21,1,233,46,11.65,,,,,,,,1929-30,21,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,Alan Cox,Georges River DCC,Historical club summary,,27,2,116,17,4.64,,,,,,,,1929-30,35,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1929/30,192900,C Robinson,Georges River DCC,Historical club summary,,13,2,193,99,17.54545455,,,,,,,,1929-30,20,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1929/30,192900,C Robinson,Georges River DCC,Historical club summary,,7,,103,,14.71428571,,,,,,,,1929-30,47,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,E Reid,Georges River DCC,Historical club summary,,18,1,631,96,37.11764706,,,,,,,,1929-30,18,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1929/30,192900,F Hurst,Georges River DCC,Historical club summary,,13,3,120,55,12,,,,,,,,1929-30,11,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1929/30,192900,F Hurst,Georges River DCC,Historical club summary,,11,,173,24,15.72727273,,,,,,,,1929-30,40,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1929/30,192900,F Richards,Georges River DCC,Historical club summary,,12,,136,29,11.33333333,,,,,,,,1929-30,19,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,F Richards,Georges River DCC,Historical club summary,,11,1,109,45,10.9,,,,,,,,1929-30,46,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,F Wilton,Georges River DCC,Historical club summary,,3,,29,,9.666666667,,,,,,,,1929-30,26,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1929/30,192900,F Wilton,Georges River DCC,Historical club summary,,17,2,166,33,11.06666667,,,,,,,,1929-30,53,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,G Gilbert,Georges River DCC,Historical club summary,,12,4,33,10,4.125,,,,,,,,1929-30,39,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,J Bannenberg,Georges River DCC,Historical club summary,,2,,13,,6.5,,,,,,,,1929-30,31,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1929/30,192900,J Bannenburg,Georges River DCC,Historical club summary,,2,,19,,9.5,,,,,,,,1929-30,5,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,J Cook,Georges River DCC,Historical club summary,,8,,97,,12.125,,,,,,,,1929-30,34,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,J Kenney,Georges River DCC,Historical club summary,,2,,12,,6,,,,,,,,1929-30,15,bexley_stats_spreadsheets.xlsx,excel,high,clean
