report_year,annual_report_page,section_heading,season,season_sort_key,grade_or_team,premiership_label,source_text,extraction_confidence,source_system
2024/25,9,Premierships,Summer 1942/43,1942,First Grade,First Grade Premiers,FIRST GRADE 1942/43,high,annual_report
2024/25,9,Premierships,Summer 1943/44,1943,First Grade,First Grade Premiers,FIRST GRADE 1943/44,high,annual_report
2024/25,9,Premierships,Summer 1958/59,1958,Second Grade,Second Grade Premiers,SECOND GRADE 1958/59,high,annual_report
2024/25,9,Premierships,Summer 2023/24,2023,Second Grade,Second Grade Premiers,SECOND GRADE 2023/24,high,annual_report
2024/25,9,Premierships,Summer 1988/89,1988,Third Grade,Third Grade Premiers,THIRD GRADE 1988/89,high,annual_report
2024/25,9,Premierships,Summer 2008/09,2008,Third Grade,Third Grade Premiers,THIRD GRADE 2008/09,high,annual_report
2024/25,9,Premierships,Summer 2017/18,2017,Third Grade,Third Grade Premiers,THIRD GRADE 2017/18,high,annual_report
2024/25,9,Premierships,Summer 1995/96,1995,Fourth Grade,Fourth Grade Premiers,FOURTH GRADE 1995/96,high,annual_report
2024/25,9,Premierships,Summer 2012/13,2012,Fourth Grade,Fourth Grade Premiers,FOURTH GRADE 2012/13,high,annual_report
2024/25,9,Premierships,Summer 2013/14,2013,Fourth Grade,Fourth Grade Premiers,FOURTH GRADE 2013/14,high,annual_report
2024/25,9,Premierships,Summer 2008/09,2008,Fifth Grade,Fifth Grade Premiers,FIFTH GRADE 2008/09,high,annual_report
2024/25,9,Premierships,Summer 1991/92,1991,Frank Gray Shield,Frank Gray Shield Premiers,FRANK GRAY SHIELD 1991/92,high,annual_report
2024/25,9,Premierships,Summer 2014/15,2014,Frank Gray Shield,Frank Gray Shield Premiers,FRANK GRAY SHIELD 2014/15,high,annual_report
2024/25,9,Premierships,Summer 2015/16,2015,Frank Gray Shield,Frank Gray Shield Premiers,FRANK GRAY SHIELD 2015/16,high,annual_report
2024/25,9,Premierships,Summer 2016/17,2016,Frank Gray Shield,Frank Gray Shield Premiers,FRANK GRAY SHIELD 2016/17,high,annual_report
2024/25,9,Premierships,Summer 2018/19,2018,Frank Gray Shield,Frank Gray Shield Premiers,FRANK GRAY SHIELD 2018/19,high,annual_report
2024/25,9,Premierships,Summer 2023/24,2023,First Grade Limited Overs,First Grade Limited Overs Premiers,FIRST GRADE LIMITED OVERS 2023/24,high,annual_report
2024/25,9,Premierships,Summer 2014/15,2014,Classics,Classics Premiers,CLASSICS 2014/15,high,annual_report
2024/25,9,Premierships,Summer 2016/17,2016,Classics,Classics Premiers,CLASSICS 2016/17,high,annual_report
2024/25,9,Premierships,Summer 2023/24,2023,Classics,Classics Premiers,CLASSICS 2023/24,high,annual_report
2024/25,9,Premierships,Summer 2019/20,2019,Vintage,Vintage Premiers,VINTAGE 2019/20,high,annual_report
2024/25,9,Premierships,Summer 2024/25,2024,Vintage,Vintage Premiers,VINTAGE 2024/25,high,annual_report
