canonical_player_id,canonical_player_name,earliest_documented_season,scope,source_document,source_sheet,source_row,confidence,notes
raw_63be5798_2b5d_4e13_b489_269a3be8aee8,Adrian Dale,Summer 1980/81,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,4,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_8e429abf_e5e6_4a25_b2f8_04fcec5a1974,Anthony Medina,Summer 1980/81,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,10,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1999/00.
raw_f1f0e8f1_ea51_4024_ba4e_955d73a38deb,Stuart Brady,Summer 1982/83,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,31,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1997/98.
raw_caddca26_3ca3_4d88_96ba_48a4b1c32b4e,Drew Davidson,Summer 1983/84,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,36,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_57f839fa_4494_4506_99d1_afa5e2d79751,Andrew Newman,Summer 1983/84,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,39,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1997/98.
raw_2a9340d0_cfdd_447e_8601_370472fd4b41,Glen Mahoney,Summer 1984/85,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,45,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_245fbe8a_28c8_4ed4_9500_e4cb57aa9c9a,John Bennett,Summer 1984/85,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,46,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1996/97.
raw_c986c4ed_ca95_4f56_a4b5_e37b2606f832,Richard Emslie,Summer 1985/86,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,53,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_91d19636_716c_4bd4_b38c_8a636b0d4e09,Graham Cuddon,Summer 1985/86,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,58,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
greg_mccormick,Greg Mccormick,Summer 1985/86,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,59,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1996/97.
raw_2969ac82_4bfe_40d3_9040_49962f372a79,Simon Laughton,Summer 1985/86,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,60,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_9d027d3b_5f17_4867_b7db_cb3579499351,David Huntington,Summer 1986/87,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,61,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 2000/01.
raw_2ad71661_cc6d_428d_bf69_c674ad6dd8b5,Matthew Silva,Summer 1986/87,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,62,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1998/99.
raw_545516d2_7153_4ec7_ad87_bb0119648e2b,Greg Huntington,Summer 1986/87,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,63,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 2007/08.
raw_7c09098d_c20a_49a4_a5bf_8117c4c8ef40,Glen Powell,Summer 1986/87,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,64,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1996/97.
raw_2eb66829_4ec3_48a7_b05e_df08bc053553,Brett Powell,Summer 1987/88,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,67,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_70937f49_c352_41a5_b07e_9eb27917f2de,Glen Davies,Summer 1987/88,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,69,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1996/97.
raw_b42006f6_92c7_4345_ae8b_c7b7080cac2c,Chris Jackson,Summer 1987/88,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,72,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_4d43b442_8e6e_4aa3_b240_901c9ec60261,D Brady,Summer 1988/89,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,76,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1999/00.
raw_be427c64_83ea_478b_ab0a_879f757e22ab,Stuart Wynd,Summer 1989/90,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,81,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_dfd2ea47_c455_46f0_9fb2_97c1e8729010,Darren Paulin,Summer 1990/91,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,84,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1996/97.
raw_3418f820_2fbb_44cc_9302_35f6155d4b27,Seddon Randall,Summer 1990/91,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,89,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_19b5b03e_b4a9_4a7c_9245_e44d17f30fee,Greg Mccallum,Summer 1990/91,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,91,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_cc18fa34_90af_40f5_aee8_ab11f97456b1,Scott Perkins,Summer 1990/91,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,92,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1999/00.
raw_7bd4af36_efb5_4297_88c6_cdc474135340,A Loucas,Summer 1990/91,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,93,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_b1eb8b94_3273_4d1a_947d_2115a2d5940f,Aris Voulanas,Summer 1992/93,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,98,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_289b8e53_aa95_4072_8288_588447304bcd,Matthew Briginshaw,Summer 1992/93,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,99,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_c1060755_a171_4ece_8cad_8ebd390469ec,Brooke Calder,Summer 1992/93,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,100,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1996/97.
raw_64b1672e_11a7_416b_89a1_f3692c878358,Steven Smoothy,Summer 1993/94,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,101,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_f4728c54_c41a_49a6_8d0c_44268039290d,Tom Waters,Summer 1993/94,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,102,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_aec22336_12e3_4534_a123_ba9e20bb42fd,Scott Davies,Summer 1993/94,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,104,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_2ecad9ed_3966_4cba_85f3_644b5191db5c,Stephen Quinn,Summer 1993/94,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,106,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
raw_805bd063_9a8e_4bd5_a837_08a0e1342def,Mehul Somaia,Summer 1994/95,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,107,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1996/97.
raw_b8d2d93c_0fc0_4e1f_9671_f1fc051e10d5,Jarrod Greaves,Summer 1994/95,First XI documented debut,GWHCC_customer_source_consolidation.xlsx,First XI History,109,high,Earliest documented GWHCC First XI season; detailed season statistics remain available only from Summer 1995/96.
