event_id,season,grade_name,team,opponent,result,captain,source_document,source_sheet,source_row,confidence,review_required,notes
hist_prem_1993_u_16,Summer 1993/94,U/16,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,4,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_1993_b3,Summer 1993/94,B3,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,5,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_1986_u_16,Summer 1986/87,U/16,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,13,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_2023_a,Summer 2023/24,A,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,24,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_1990_u_16,Summer 1990/91,U/16,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,25,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_1981_d,Summer 1981/82,D,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,31,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_1982_c,Summer 1982/83,C,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,32,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_1983_b,Summer 1983/84,B,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,33,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_1984_d,Summer 1984/85,D,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,34,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_1985_f,Summer 1985/86,F,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,35,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_1999_u_12,Summer 1999/00,U/12,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,50,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_2000_u_14a,Summer 2000/01,U/14A,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,58,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_1989_u_14,Summer 1989/90,U/14,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,70,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_1996_u_14,Summer 1996/97,U/14,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,88,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_1997_u_14,Summer 1997/98,U/14,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,89,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
hist_prem_1999_u_16,Summer 1999/00,U/16,Glen Waverley Hawks,,,,GWHCC_customer_source_consolidation.xlsx,Premiership Events,90,high,false,Governed club-supplied historical premiership event; fields absent from the source remain blank.
