season_id,season,start_date,first_xi_participation,documented_premiership_grades,source_type,source_document,source_sheet,source_record,confidence,evidence_description
gwhcc-historical-1980-81,Summer 1980/81,1980-07-01,true,,customer_historical_document,GWHCC_customer_source_consolidation.xlsx,First XI History,rows 4-17,high,Fourteen First XI history entries identify their first GWHCC First XI game in Summer 1980/81.
gwhcc-historical-1981-82,Summer 1981/82,1981-07-01,true,D,customer_historical_document,GWHCC_customer_source_consolidation.xlsx,First XI History; Premiership Events,First XI rows 18-23; premiership row 31,high,Six First XI history entries confirm club activity and the governed premiership source records a D grade premiership.
gwhcc-historical-1982-83,Summer 1982/83,1982-07-01,true,C; U/12,customer_historical_document,GWHCC_customer_source_consolidation.xlsx,First XI History; Premiership Events,First XI rows 24-35; premiership rows 32 and 179,high,Twelve First XI history entries confirm club activity and governed premiership records identify C and U/12 premierships.
gwhcc-historical-1983-84,Summer 1983/84,1983-07-01,true,B,customer_historical_document,GWHCC_customer_source_consolidation.xlsx,First XI History; Premiership Events,First XI rows 36-43; premiership row 33,high,Eight First XI history entries confirm club activity and the governed premiership source records a B grade premiership.
gwhcc-historical-1984-85,Summer 1984/85,1984-07-01,true,D,customer_historical_document,GWHCC_customer_source_consolidation.xlsx,First XI History; Premiership Events,First XI rows 44-52; premiership row 34,high,Nine First XI history entries confirm club activity and the governed premiership source records a D grade premiership.
gwhcc-historical-1985-86,Summer 1985/86,1985-07-01,true,F; U/12,customer_historical_document,GWHCC_customer_source_consolidation.xlsx,First XI History; Premiership Events,First XI rows 53-60; premiership rows 35 and 127,high,Eight First XI history entries confirm club activity and governed premiership records identify F and U/12 premierships.
gwhcc-historical-1986-87,Summer 1986/87,1986-07-01,true,U/16,customer_historical_document,GWHCC_customer_source_consolidation.xlsx,First XI History; Premiership Events,First XI rows 61-66; premiership row 13,high,Six First XI history entries confirm club activity and the governed premiership source records a U/16 premiership.
gwhcc-historical-1987-88,Summer 1987/88,1987-07-01,true,A2,customer_historical_document,GWHCC_customer_source_consolidation.xlsx,First XI History; Premiership Events,First XI rows 67-72; premiership row 120,high,Six First XI history entries confirm club activity and the governed premiership source records an A2 premiership.
gwhcc-historical-1988-89,Summer 1988/89,1988-07-01,true,U/16,customer_historical_document,GWHCC_customer_source_consolidation.xlsx,First XI History; Premiership Events,First XI rows 73-80; premiership row 199,high,Eight First XI history entries confirm club activity and the governed premiership source records a U/16 premiership.
gwhcc-historical-1989-90,Summer 1989/90,1989-07-01,true,U/14; U/16,customer_historical_document,GWHCC_customer_source_consolidation.xlsx,First XI History; Premiership Events,First XI rows 81-82; premiership rows 70 and 128,high,Two First XI history entries confirm club activity and governed premiership records identify U/14 and U/16 premierships.
gwhcc-historical-1990-91,Summer 1990/91,1990-07-01,true,U/16,customer_historical_document,GWHCC_customer_source_consolidation.xlsx,First XI History; Premiership Events,First XI rows 83-93; premiership row 25,high,Eleven First XI history entries confirm club activity and the governed premiership source records a U/16 premiership.
