raw_grade_name,display_grade_name,grade_group,grade_type,format,age_group,gender_group,display_order,include_in_senior_records,include_in_junior_records,include_in_whole_club_records,requires_review,notes
2nd Grade,2nd Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
A Grade (12 Player Grade - 80 Overs),A Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
"A Grade (80 Overs, 12 Players)",A Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
A1 Grade,A1 Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
A2 Grade,A2 Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
A3 Grade,A3 Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
B Grade (12 Player Grade - 80 Overs),B Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
"B Grade (80 Overs, 12 Players)",B Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
B1 Grade,B1 Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
B2 Grade,B2 Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
B3 Grade,B3 Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
B4 Grade,B4 Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
C Grade (12 Player Grade - 70 Overs),C Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
"C Grade (70 Overs, 12 Players)",C Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
C1 Grade,C1 Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
C2 Grade,C2 Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
3. Compare & Conect Dorothy McIntosh Shield,Compare & Connect Dorothy McIntosh Shield,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open; canonical sponsor spelling confirmed
D Grade (12 Player Grade - 70 Overs),D Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
"D Grade (64 Overs, 12 Players)",D Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
D1 Grade,D1 Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
Dorothy McIntosh Shield,Dorothy McIntosh Shield,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
"E Grade (64 Overs, 12 Players)",E Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
"E Grade (70 Overs, 12 Players)",E Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
"2 - Howard Wilson Shield (80 Overs, 11 Players)",Howard Wilson Shield,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
Howard Wilson Shield,Howard Wilson Shield,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
McIntosh Shield Grade 2nds,McIntosh Shield Grade 2nds,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,true,record_scope=Senior/open; mapping requires POC review
One Day A Grade,One Day A Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
One Day B Grade,One Day B Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
One Day C Grade,One Day C Grade,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
"1 - Ray McIntosh Shield (80 Overs, 11 Players)",Ray McIntosh Shield,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
Ray McIntosh Shield,Ray McIntosh Shield,Senior/open,Senior/open,One Day,Open,Open/Mixed,100,true,false,true,false,record_scope=Senior/open
Super 7's (Stage 1) Saturday,Super 7's (Stage 1) Saturday,Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,false,record_scope=Junior
Super 7's (Stage 1) Saturday - Blue,Super 7's (Stage 1) Saturday - Blue,Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,false,record_scope=Junior
Super 7's (Stage 1) Saturday - Gold,Super 7's (Stage 1) Saturday - Gold,Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,false,record_scope=Junior
Super 7's (Stage 1) Sunday - Blue,Super 7's (Stage 1) Sunday - Blue,Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,false,record_scope=Junior
Super 7's (Stage 1) Sunday - Gold,Super 7's (Stage 1) Sunday - Gold,Junior,Junior,Junior,Entry junior,Open/Mixed,800,false,true,true,false,record_scope=Junior
