season_id,season,team_id,grade_id,grade_name,player_key,canonical_player_id,canonical_player_name,display_player_name,bbb_runs,bbb_balls_faced,bbb_dismissals,bbb_dot_balls,bbb_dot_ball_balls_faced,bbb_batting_innings,bbb_matches,latest_match_date,bat_sr,batting_dot_ball_pct
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,1dc2be88-5385-43e2-97c5-02a2edbe2d0a,f2c9d8e0-11e0-4677-8f4d-d84fbe5e6cdf,C1 Grade,jason_jennings,jason_jennings,Jason Jennings,Jason Jennings,107.0,177.0,1,119,177.0,1,1,2022-11-26T13:00:00.0000000+10:30,60.451977401129945,67.2316384180791
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,1dc2be88-5385-43e2-97c5-02a2edbe2d0a,f2c9d8e0-11e0-4677-8f4d-d84fbe5e6cdf,C1 Grade,raw_761f2f46_806e_4d87_87ee_d2c30ef3f65c,raw_761f2f46_806e_4d87_87ee_d2c30ef3f65c,Matthew Aston,Matthew Aston,4.0,3.0,1,1,3.0,1,1,2022-11-26T13:00:00.0000000+10:30,133.33333333333334,33.333333333333336
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,1dc2be88-5385-43e2-97c5-02a2edbe2d0a,f2c9d8e0-11e0-4677-8f4d-d84fbe5e6cdf,C1 Grade,raw_b2cedc68_089b_4c05_9a04_67d9dda8acfe,raw_b2cedc68_089b_4c05_9a04_67d9dda8acfe,Benjamin James,Benjamin James,1.0,9.0,1,8,9.0,1,1,2022-11-26T13:00:00.0000000+10:30,11.11111111111111,88.88888888888889
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,aidan_richardson,aidan_richardson,Aidan Richardson,Aidan Richardson,9.0,43.0,1,39,43.0,1,1,2023-02-05T13:00:00.0000000+10:30,20.930232558139537,90.69767441860465
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,brendan_russell,brendan_russell,Brendan Russell,Brendan Russell,8.0,37.0,3,32,37.0,3,3,2023-02-19T13:00:00.0000000+10:30,21.62162162162162,86.48648648648648
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,brock_carlisle,brock_carlisle,Brock Carlisle,Brock Carlisle,31.0,153.0,2,134,153.0,2,2,2023-02-19T13:00:00.0000000+10:30,20.26143790849673,87.58169934640523
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,cameron_baldock,cameron_baldock,Cameron Baldock,Cameron Baldock,21.0,100.0,0,86,100.0,1,1,2022-11-27T13:00:00.0000000+10:30,21.0,86.0
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,felix_lilith_spring,felix_lilith_spring,Felix Lilith-Spring,Felix Lilith-Spring,8.0,18.0,1,13,18.0,2,2,2023-02-19T13:00:00.0000000+10:30,44.44444444444444,72.22222222222223
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,flynn_maher,flynn_maher,Flynn Maher,Flynn Maher,22.0,37.0,2,23,37.0,3,3,2023-02-19T13:00:00.0000000+10:30,59.45945945945946,62.16216216216216
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,harrison_glatter,harrison_glatter,Harrison Glatter,Harrison Glatter,59.0,181.0,2,143,181.0,3,3,2023-02-19T13:00:00.0000000+10:30,32.59668508287293,79.00552486187846
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,jayden_hower,jayden_hower,Jayden Hower,Jayden Hower,10.0,37.0,2,31,37.0,3,3,2023-02-19T13:00:00.0000000+10:30,27.027027027027028,83.78378378378379
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,joshua_mount,joshua_mount,Joshua Mount,Joshua Mount,9.0,48.0,2,42,48.0,3,3,2023-02-19T13:00:00.0000000+10:30,18.75,87.5
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,liam_harvey,liam_harvey,Liam Harvey,Liam Harvey,6.0,87.0,2,83,87.0,2,2,2023-02-19T13:00:00.0000000+10:30,6.896551724137931,95.40229885057471
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,max_tonkin,max_tonkin,Max Tonkin,Max Tonkin,13.0,47.0,2,39,47.0,3,3,2023-02-19T13:00:00.0000000+10:30,27.659574468085108,82.97872340425532
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,raw_2357cd91_625f_4677_ad0c_f9be317c47ae,raw_2357cd91_625f_4677_ad0c_f9be317c47ae,Lucas Elliott,Lucas Elliott,7.0,29.0,1,26,29.0,1,1,2023-02-05T13:00:00.0000000+10:30,24.137931034482758,89.65517241379311
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,raw_33db9b1c_ef3c_452f_b611_cbd07fc6615d,raw_33db9b1c_ef3c_452f_b611_cbd07fc6615d,Nicholas Mann,Nicholas Mann,0.0,5.0,1,5,5.0,1,1,2023-02-19T13:00:00.0000000+10:30,0.0,100.0
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,raw_970ad081_3d1f_4215_8f36_869049363bf6,raw_970ad081_3d1f_4215_8f36_869049363bf6,Lachlan Fitzgerald,Lachlan Fitzgerald,0.0,11.0,2,11,11.0,2,2,2023-02-19T13:00:00.0000000+10:30,0.0,100.0
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,47381e3b-dd50-46f2-b41a-6def27a12ec1,58dfbaf3-80a0-4321-855d-aeb2d74d898d,U15 Boys Division 2,zac_egan,zac_egan,Zac Egan,Zac Egan,1.0,17.0,0,16,17.0,1,1,2022-11-27T13:00:00.0000000+10:30,5.882352941176471,94.11764705882354
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,4e49e650-da93-40b4-ab31-af784004356e,f2dd3076-c145-44f4-9d21-69dccb87798a,U14 Boys South Division 1,bailey_bennett,bailey_bennett,Bailey Bennett,Bailey Bennett,80.0,69.0,2,39,69.0,2,2,2023-01-08T08:30:00.0000000+10:30,115.94202898550725,56.52173913043478
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,4e49e650-da93-40b4-ab31-af784004356e,f2dd3076-c145-44f4-9d21-69dccb87798a,U14 Boys South Division 1,dylan_mcnab,dylan_mcnab,Dylan Mcnab,Dylan Mcnab,2.0,9.0,1,7,9.0,1,1,2023-01-08T08:30:00.0000000+10:30,22.22222222222222,77.77777777777777
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,4e49e650-da93-40b4-ab31-af784004356e,f2dd3076-c145-44f4-9d21-69dccb87798a,U14 Boys South Division 1,mitchell_russell,mitchell_russell,Mitchell Russell,Mitchell Russell,15.0,28.0,2,23,28.0,2,2,2023-01-08T08:30:00.0000000+10:30,53.57142857142857,82.14285714285714
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,4e49e650-da93-40b4-ab31-af784004356e,f2dd3076-c145-44f4-9d21-69dccb87798a,U14 Boys South Division 1,mitchell_trenorden,mitchell_trenorden,Mitchell Trenorden,Mitchell Trenorden,13.0,36.0,3,29,36.0,3,3,2023-01-08T08:30:00.0000000+10:30,36.111111111111114,80.55555555555556
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,4e49e650-da93-40b4-ab31-af784004356e,f2dd3076-c145-44f4-9d21-69dccb87798a,U14 Boys South Division 1,raw_26cb2c08_9ab9_4344_bfea_fb8647f67de5,raw_26cb2c08_9ab9_4344_bfea_fb8647f67de5,Ansh Patel,Ansh Patel,10.0,20.0,1,14,20.0,1,1,2023-01-08T08:30:00.0000000+10:30,50.0,70.0
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,4e49e650-da93-40b4-ab31-af784004356e,f2dd3076-c145-44f4-9d21-69dccb87798a,U14 Boys South Division 1,raw_3e1adebb_52c6_4915_ad92_93ac5ec5d9eb,raw_3e1adebb_52c6_4915_ad92_93ac5ec5d9eb,Dane Higgins,Dane Higgins,24.0,54.0,2,43,54.0,2,2,2022-12-18T08:30:00.0000000+10:30,44.44444444444444,79.62962962962963
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,4e49e650-da93-40b4-ab31-af784004356e,f2dd3076-c145-44f4-9d21-69dccb87798a,U14 Boys South Division 1,raw_ef2fde84_ff3a_4495_95d8_b36f118ec016,raw_ef2fde84_ff3a_4495_95d8_b36f118ec016,Tyler Rowston,Tyler Rowston,11.0,31.0,2,24,31.0,2,2,2023-01-08T08:30:00.0000000+10:30,35.483870967741936,77.41935483870968
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,4e49e650-da93-40b4-ab31-af784004356e,f2dd3076-c145-44f4-9d21-69dccb87798a,U14 Boys South Division 1,raw_fa78d1d0_056c_49ca_aa80_ebe70377eafe,raw_fa78d1d0_056c_49ca_aa80_ebe70377eafe,Noah Ball,Noah Ball,16.0,32.0,1,24,32.0,1,1,2022-12-18T08:30:00.0000000+10:30,50.0,75.0
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,4e49e650-da93-40b4-ab31-af784004356e,f2dd3076-c145-44f4-9d21-69dccb87798a,U14 Boys South Division 1,raw_feced089_8864_4a4d_84b3_ccfd31618652,raw_feced089_8864_4a4d_84b3_ccfd31618652,Noah Hanks,Noah Hanks,56.0,69.0,3,48,69.0,3,3,2023-01-08T08:30:00.0000000+10:30,81.15942028985508,69.56521739130434
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,4e49e650-da93-40b4-ab31-af784004356e,f2dd3076-c145-44f4-9d21-69dccb87798a,U14 Boys South Division 1,shivaan_naidu,shivaan_naidu,Shivaan Naidu,Shivaan Naidu,4.0,21.0,2,18,21.0,2,2,2023-01-08T08:30:00.0000000+10:30,19.047619047619047,85.71428571428571
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,4e49e650-da93-40b4-ab31-af784004356e,f2dd3076-c145-44f4-9d21-69dccb87798a,U14 Boys South Division 1,tom_gill,tom_gill,Tom Gill,Tom Gill,44.0,77.0,3,54,77.0,3,3,2023-01-08T08:30:00.0000000+10:30,57.142857142857146,70.12987012987013
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,4e49e650-da93-40b4-ab31-af784004356e,f2dd3076-c145-44f4-9d21-69dccb87798a,U14 Boys South Division 1,zac_egan,zac_egan,Zac Egan,Zac Egan,10.0,44.0,3,38,44.0,3,3,2023-01-08T08:30:00.0000000+10:30,22.727272727272727,86.36363636363636
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,57da2d08-55fa-49db-8796-a46fd253a72d,807f6099-7898-4b56-a902-e3efaf2c7cf6,O'Neills Sports T20 Division 1,jake_shaw,jake_shaw,Jake Shaw,Jake Shaw,4.0,4.0,1,0,4.0,1,1,2022-12-06T17:10:00.0000000+10:30,100.0,0.0
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,57da2d08-55fa-49db-8796-a46fd253a72d,807f6099-7898-4b56-a902-e3efaf2c7cf6,O'Neills Sports T20 Division 1,josh_burrows,josh_burrows,Josh Burrows,Josh Burrows,0.0,2.0,1,2,2.0,1,1,2023-01-10T17:10:00.0000000+10:30,0.0,100.0
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,57da2d08-55fa-49db-8796-a46fd253a72d,807f6099-7898-4b56-a902-e3efaf2c7cf6,O'Neills Sports T20 Division 1,joshua_spall,joshua_spall,Joshua Spall,Joshua Spall,58.0,64.0,3,34,64.0,3,3,2023-01-17T17:10:00.0000000+10:30,90.625,53.125
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,57da2d08-55fa-49db-8796-a46fd253a72d,807f6099-7898-4b56-a902-e3efaf2c7cf6,O'Neills Sports T20 Division 1,raw_205e8fd2_2a71_4bb7_af36_80deca0a9b8a,raw_205e8fd2_2a71_4bb7_af36_80deca0a9b8a,Matt Hehner,Matt Hehner,32.0,27.0,3,9,27.0,3,3,2023-01-17T17:10:00.0000000+10:30,118.51851851851852,33.333333333333336
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,57da2d08-55fa-49db-8796-a46fd253a72d,807f6099-7898-4b56-a902-e3efaf2c7cf6,O'Neills Sports T20 Division 1,raw_3a789cea_76b1_4886_9355_e458ba052d05,raw_3a789cea_76b1_4886_9355_e458ba052d05,Richard Gabb,Richard Gabb,50.0,51.0,2,25,51.0,2,2,2023-01-17T17:10:00.0000000+10:30,98.03921568627452,49.01960784313726
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,57da2d08-55fa-49db-8796-a46fd253a72d,807f6099-7898-4b56-a902-e3efaf2c7cf6,O'Neills Sports T20 Division 1,raw_83c03530_5522_4ee8_aae6_408666e96e51,raw_83c03530_5522_4ee8_aae6_408666e96e51,Todd Middleton,Todd Middleton,10.0,26.0,3,17,26.0,3,3,2023-01-17T17:10:00.0000000+10:30,38.46153846153846,65.38461538461539
