match_id,season_id,season,source_team_ids,fvcc_team_id,fvcc_team_name,grade_id,grade_name,grade_label,round_name,round_display,round_sort,match_date,opponent_name,result_label,result_class,result_text,best_batter,best_bowler,is_premiership
3d9fded8-e93e-40d6-b32f-ae7db5db9ae1,f82ff57c-ee7b-4393-a74a-40f562cfd0b7,Summer 1977/78,4831db3a-07b0-4254-80a8-58431a0cd357,4831db3a-07b0-4254-80a8-58431a0cd357,Southside East Caulfield,58a76b57-7339-48ff-9c47-48c48d2c5ced,F Grade,Southside East Caulfield - F Grade Central,Round 10,R10,10,1978-02-04 00:00:00+00:00,Bentleigh Uniting 3 Cricket Club,Win,win,won by 91 runs,—,—,False
1ac997e2-dc16-406b-8b82-c070a4885dcc,3d52b700-41d8-43a1-b330-fa2d2ecb58de,Summer 1979/80,26fce520-bb92-4070-a1e1-f8113b467bff,26fce520-bb92-4070-a1e1-f8113b467bff,Southside East Caulfield,01526836-b5d8-435c-b0aa-477e5df6624c,F Grade,Southside East Caulfield - F Grade Central,Round 8,R8,8,1980-01-26 00:00:00+00:00,Bentleigh Uniting 3 Cricket Club,Win,win,won by 8 wickets,—,—,False
7ff7026b-67da-4a7b-8a61-6db965c85c82,7ebc1e26-cde1-4311-aa05-ce8a684f9187,Summer 1982/83,2a8274d1-49cc-4edd-a18c-0ddbe4e9cf8b,2a8274d1-49cc-4edd-a18c-0ddbe4e9cf8b,Southside East Caulfield,fabd87c8-daf3-4650-990a-16b2793bf955,I Grade,Southside East Caulfield - I Grade,Round 11,R11,11,1983-02-19 00:00:00+00:00,Bentleigh Uniting 4 Cricket Club,Win,win,won by 56 runs,—,—,False
4333461e-daa1-48e3-85d0-2acaf7f97938,142e19d6-76da-449f-aba3-73a0c30b02bb,Summer 1983/84,5520c2f2-a76a-458b-a620-4de841e7cd02,5520c2f2-a76a-458b-a620-4de841e7cd02,Southside East Caulfield,471f7bc2-c049-4af9-959c-22b42d4caeab,E Grade,Southside East Caulfield - E Grade - Les Kemp Shield,Semi Finals,Semi Finals,1001,1984-03-10 00:00:00+00:00,Bentleigh Uniting 3 Cricket Club,Loss,loss,lost by 5 wickets,—,—,False
ac15ae40-7c04-4ef6-a3b1-27d255c1eff0,142e19d6-76da-449f-aba3-73a0c30b02bb,Summer 1983/84,5520c2f2-a76a-458b-a620-4de841e7cd02,5520c2f2-a76a-458b-a620-4de841e7cd02,Southside East Caulfield,471f7bc2-c049-4af9-959c-22b42d4caeab,E Grade,Southside East Caulfield - E Grade - Les Kemp Shield,Round 3,R3,3,1983-10-29 00:00:00+00:00,Bentleigh Uniting 3 Cricket Club,Loss,loss,lost by 117 runs,—,—,False
6bff1665-aaf4-4fa1-8a66-57a7df09aef1,142e19d6-76da-449f-aba3-73a0c30b02bb,Summer 1983/84,5520c2f2-a76a-458b-a620-4de841e7cd02,5520c2f2-a76a-458b-a620-4de841e7cd02,Southside East Caulfield,471f7bc2-c049-4af9-959c-22b42d4caeab,E Grade,Southside East Caulfield - E Grade - Les Kemp Shield,Round 2,R2,2,1983-10-22 00:00:00+00:00,Le Page Park 3 Cricket Club,Win,win,won by 35 runs,—,—,False
c0092f66-508f-43d7-b7e3-88303d4b4a7c,142e19d6-76da-449f-aba3-73a0c30b02bb,Summer 1983/84,60b70c0e-c4d0-4d3b-a576-f6be7eaf9558,60b70c0e-c4d0-4d3b-a576-f6be7eaf9558,Southside East Caulfield,34d031ce-8270-42ff-aebc-f870c1131892,I Grade,Southside East Caulfield - I Grade,Round 5,R5,5,1983-11-26 00:00:00+00:00,Moorabbin Park Cricket Club,Win,win,won by 39 runs,—,—,False
752dbcb6-0c95-4ca6-9590-006eb090b65e,142e19d6-76da-449f-aba3-73a0c30b02bb,Summer 1983/84,60b70c0e-c4d0-4d3b-a576-f6be7eaf9558,60b70c0e-c4d0-4d3b-a576-f6be7eaf9558,Southside East Caulfield,34d031ce-8270-42ff-aebc-f870c1131892,I Grade,Southside East Caulfield - I Grade,Round 3,R3,3,1983-10-29 00:00:00+00:00,Bentleigh Uniting 5 Cricket Club,Loss,loss,lost by 3 wickets,—,—,False
bcde9283-96bd-4eb0-adc3-7942ee60864a,140a42af-5df5-4954-893d-7b183c7347c1,Summer 1984/85,e4025921-849d-4dd7-8a5b-e8970fff10af,e4025921-849d-4dd7-8a5b-e8970fff10af,Southside East Caulfield,f79bd9ce-795e-428d-b3e0-f6bac145df5a,Pullen Shield,Southside East Caulfield - Pullen Shield,Round 7,R7,7,1985-01-19 00:00:00+00:00,Le Page Park Cricket Club,Win,win,won by 18 runs,—,—,False
5eea6661-ad67-4b65-abf7-f9e76b61fb51,140a42af-5df5-4954-893d-7b183c7347c1,Summer 1984/85,e4025921-849d-4dd7-8a5b-e8970fff10af,e4025921-849d-4dd7-8a5b-e8970fff10af,Southside East Caulfield,f79bd9ce-795e-428d-b3e0-f6bac145df5a,Pullen Shield,Southside East Caulfield - Pullen Shield,Round 1,R1,1,1984-10-06 00:00:00+00:00,Bentleigh Uniting 3 Cricket Club,Win,win,won by 184 runs,—,—,False
fb1d1323-dbed-4e59-aab4-8fd3c2a17fbf,63bd697a-8f36-4832-9e80-75600f58609d,Summer 1985/86,447ec450-dbef-4029-8cb0-4b7f5ba19ba4,447ec450-dbef-4029-8cb0-4b7f5ba19ba4,Southside East Caulfield,158bb186-e6c7-4225-a819-1101b264654c,H Grade,Southside East Caulfield - H Grade,Round 5,R5,5,1985-11-30 00:00:00+00:00,East Sandringham Cricket Club,Draw,draw,draw,—,—,False
ab3939cd-4a12-4503-9ad7-98ecd0c06189,63bd697a-8f36-4832-9e80-75600f58609d,Summer 1985/86,447ec450-dbef-4029-8cb0-4b7f5ba19ba4,447ec450-dbef-4029-8cb0-4b7f5ba19ba4,Southside East Caulfield,158bb186-e6c7-4225-a819-1101b264654c,H Grade,Southside East Caulfield - H Grade,Round 2,R2,2,1985-10-19 00:00:00+00:00,Bentleigh Uniting 4 Cricket Club,Loss,loss,lost by 4 wickets,—,—,False
92b06311-9ac0-4698-9325-35209419a262,22a332ee-7323-414b-bf81-bb360b894a5f,Summer 1986/87,fd5197a9-0802-48ea-a8e9-66503a7edd18,fd5197a9-0802-48ea-a8e9-66503a7edd18,Southside East Caulfield,3e7c91b7-5f4c-4a1f-8620-66e48e764bf0,Quiney Shield,Southside East Caulfield - Quiney Shield,Round 9,R9,9,1987-01-26 00:00:00+00:00,Bentleigh Uniting 2 Cricket Club,Win,win,won by 6 wickets,—,—,False
1dad41b6-fb4f-429d-be13-04dca8c2e2ce,0243bc27-76aa-41d7-8c2e-9e83841ece48,Summer 1987/88,815d1d5f-7fa8-4d51-b342-7b8968329c93,815d1d5f-7fa8-4d51-b342-7b8968329c93,Southside East Caulfield,9489c5f2-08b0-4cfa-acd9-f72c255a312f,F Grade,Southside East Caulfield - F Grade Central,Round 3,R3,3,1987-10-31 00:00:00+00:00,Le Page Park 4 Cricket Club,Win,win,won by an innings and 58 runs,—,—,False
