match_id,innings_id,innings_number,innings_order,batting_team_id,partnership_number,batter_1_participant_id,batter_1_short_name,batter_2_participant_id,batter_2_short_name,start_over_number,start_ball_display_number,end_over_number,end_ball_display_number,runs,legal_balls,wicket_ending_participant_id,dismissal_type
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,1,dcbfab3f-24d3-4add-be5d-6946adb5d18b,K Bhan,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,B Dmello,0,1,5,4,6,34,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,Run Out
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,2,dcbfab3f-24d3-4add-be5d-6946adb5d18b,K Bhan,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,J Bhan,5,5,7,3,2,11,dcbfab3f-24d3-4add-be5d-6946adb5d18b,LBW
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,3,d36a9234-b2b2-44a0-9fa3-3e1527aa4b1c,H Kumar,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,J Bhan,7,4,12,1,6,28,d36a9234-b2b2-44a0-9fa3-3e1527aa4b1c,Run Out
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,4,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,A Bodele,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,J Bhan,12,2,19,1,35,42,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,5,360868ba-5d2a-4f9f-9f3a-fff5756f3f85,S Bhan,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,A Bodele,19,2,24,5,12,34,360868ba-5d2a-4f9f-9f3a-fff5756f3f85,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6,54d16991-caa8-47b8-b59b-a67740c0df8d,K Patel,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,A Bodele,24,6,26,1,4,8,54d16991-caa8-47b8-b59b-a67740c0df8d,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,7,7b43011a-eb05-448f-93c9-644481721a69,J Mendiz,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,A Bodele,26,2,31,4,17,33,7b43011a-eb05-448f-93c9-644481721a69,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,8,2c167bd3-c65c-4abd-8fa8-7351cfe9aa59,S Shrestha,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,A Bodele,31,5,53,5,55,133,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,9,722ca954-11e3-4053-8a81-ad7f435339d5,B Viswanathan,2c167bd3-c65c-4abd-8fa8-7351cfe9aa59,S Shrestha,53,6,57,5,43,24,722ca954-11e3-4053-8a81-ad7f435339d5,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,016b7628-337e-4f60-87ac-29e8ccc127d8,2,3,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,10,d7f93a87-6b05-4830-a524-41457fd00603,S Vikash,2c167bd3-c65c-4abd-8fa8-7351cfe9aa59,S Shrestha,57,6,66,6,43,55,,
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,1,1,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,1,dcbfab3f-24d3-4add-be5d-6946adb5d18b,K Bhan,d36a9234-b2b2-44a0-9fa3-3e1527aa4b1c,H Kumar,0,1,0,3,0,3,dcbfab3f-24d3-4add-be5d-6946adb5d18b,Bowled
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,1,1,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,2,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,J Bhan,d36a9234-b2b2-44a0-9fa3-3e1527aa4b1c,H Kumar,0,4,8,2,11,47,d36a9234-b2b2-44a0-9fa3-3e1527aa4b1c,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,1,1,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,3,360868ba-5d2a-4f9f-9f3a-fff5756f3f85,S Bhan,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,J Bhan,8,3,17,5,25,57,360868ba-5d2a-4f9f-9f3a-fff5756f3f85,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,1,1,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,4,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,A Bodele,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,J Bhan,17,6,19,4,2,11,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,1,1,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,5,54d16991-caa8-47b8-b59b-a67740c0df8d,K Patel,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,A Bodele,19,5,25,6,13,38,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,Bowled
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,1,1,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,6,54d16991-caa8-47b8-b59b-a67740c0df8d,K Patel,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,B Dmello,26,1,32,2,36,38,54d16991-caa8-47b8-b59b-a67740c0df8d,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,1,1,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,7,7b43011a-eb05-448f-93c9-644481721a69,J Mendiz,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,B Dmello,32,3,36,1,25,23,7b43011a-eb05-448f-93c9-644481721a69,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,1,1,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,8,2c167bd3-c65c-4abd-8fa8-7351cfe9aa59,S Shrestha,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,B Dmello,36,2,41,4,35,33,2c167bd3-c65c-4abd-8fa8-7351cfe9aa59,Bowled
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,1,1,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,9,722ca954-11e3-4053-8a81-ad7f435339d5,B Viswanathan,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,B Dmello,41,5,47,6,38,38,722ca954-11e3-4053-8a81-ad7f435339d5,LBW
53f979f1-6039-42bc-82dd-0ff36d0d7169,239c2835-a385-4e1b-bcae-4df662a1c4d8,1,1,fa410898-8244-46e6-a9c6-d02e6dd1b8b5,10,f58308c0-3264-4495-8ab0-7ce40fc9e2a5,B Dmello,d7f93a87-6b05-4830-a524-41457fd00603,S Vikash,48,1,50,4,7,16,d7f93a87-6b05-4830-a524-41457fd00603,Run Out
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,1,2,6b44b227-779d-4d06-a30e-958d00f39c20,1,e4e20dbb-d6c4-4283-be99-93a2565de142,D Wilson,adfe978e-fcf2-459c-a8e0-62bf7e166716,D Patel,0,1,14,6,93,90,adfe978e-fcf2-459c-a8e0-62bf7e166716,Run Out
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,1,2,6b44b227-779d-4d06-a30e-958d00f39c20,2,e4e20dbb-d6c4-4283-be99-93a2565de142,D Wilson,85f787ea-08da-4232-9d7b-59cbe102533d,Z Wilkes,15,1,25,5,42,65,e4e20dbb-d6c4-4283-be99-93a2565de142,LBW
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,1,2,6b44b227-779d-4d06-a30e-958d00f39c20,3,d67d6bf8-7d9f-460d-8add-7b4ba5136916,C Volitakis,85f787ea-08da-4232-9d7b-59cbe102533d,Z Wilkes,25,6,30,2,19,27,85f787ea-08da-4232-9d7b-59cbe102533d,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,1,2,6b44b227-779d-4d06-a30e-958d00f39c20,4,39f18bb4-a7fc-4b5a-81ad-36c69a3544d4,B Gillett,d67d6bf8-7d9f-460d-8add-7b4ba5136916,C Volitakis,30,3,37,1,10,41,d67d6bf8-7d9f-460d-8add-7b4ba5136916,Caught
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,1,2,6b44b227-779d-4d06-a30e-958d00f39c20,5,7875ed67-05b0-447d-b9c7-24c83ab142be,H Gillett,39f18bb4-a7fc-4b5a-81ad-36c69a3544d4,B Gillett,37,2,38,6,4,11,39f18bb4-a7fc-4b5a-81ad-36c69a3544d4,Bowled
53f979f1-6039-42bc-82dd-0ff36d0d7169,8064c457-29cd-4432-a1f3-72579b3e2ad0,1,2,6b44b227-779d-4d06-a30e-958d00f39c20,6,7875ed67-05b0-447d-b9c7-24c83ab142be,H Gillett,d7ef8088-f5e7-4fa0-acf7-a71031d6acf7,T Volitakis,39,1,41,6,26,18,,
