match_id,innings_id,innings_number,innings_order,innings_name,batting_team_id,bowling_team_id,innings_close_type,is_declared,is_follow_on,runs_scored,wickets_fallen,overs_bowled,total_extras,byes_runs,leg_byes_runs,no_balls,wides,penalties
060abbba-4b51-4aac-9fce-6c81d6455deb,fc1e08e5-5633-4bfb-9cc4-d789b2846cfa,1,1,1st Innings - Bellfield Bulls CC 4th XI,86de86ad-cebf-4fd8-a904-a5c5be9c2e36,279aa49f-e6a9-4085-9db7-098edac9c90e,Compulsory Close,False,False,0,0,0,0,0,0,0,0,0
060abbba-4b51-4aac-9fce-6c81d6455deb,3a5746fe-749d-44c8-bc93-a8f1aa97b29c,1,2,1st Innings - Fiji Victorian CC 4th XI,279aa49f-e6a9-4085-9db7-098edac9c90e,86de86ad-cebf-4fd8-a904-a5c5be9c2e36,End of Match,False,False,0,0,0,0,0,0,0,0,0
08e9bed5-8e70-4e06-b630-8788da1e218c,016bd015-153f-4f52-b4e6-5dd8ba4550bb,1,1,1st Innings - Preston Baseballers CC 3rd XI,90d2b3f1-33ab-4ead-811a-4dd67d99e275,279aa49f-e6a9-4085-9db7-098edac9c90e,Compulsory Close,False,False,201,5,35.0,24,1,2,11,10,0
08e9bed5-8e70-4e06-b630-8788da1e218c,b823778d-c200-481e-86a5-1e4715826cd2,1,2,1st Innings - Fiji Victorian CC 4th XI,279aa49f-e6a9-4085-9db7-098edac9c90e,90d2b3f1-33ab-4ead-811a-4dd67d99e275,End of Match,False,False,140,10,30.5,28,1,0,9,18,0
175ea5e8-b9a2-402e-84f9-afb141e16999,a72b2069-75e9-414e-989a-b4ea330ae5e5,1,1,1st Innings - Fiji Victorian CC 3rd XI,c3859c82-3451-460a-a8af-f55240f3fec9,b8e1f46f-6a93-4d7e-b133-e2de1485d7cc,All Out,False,False,180,10,41.0,22,2,2,1,12,5
175ea5e8-b9a2-402e-84f9-afb141e16999,15b2c669-7602-4c61-a36d-a7b729ad4e2b,1,2,1st Innings - West Preston CC 3rd XI,b8e1f46f-6a93-4d7e-b133-e2de1485d7cc,c3859c82-3451-460a-a8af-f55240f3fec9,All Out,False,False,131,9,49.3,27,4,0,1,17,5
1c40f81b-c4d1-4f37-b443-f3826ac22a3f,9bd4a475-6e2b-4d13-9a30-703d50d2b9d7,1,1,1st Innings - Northern Socials CC 2s XI,692e6f5f-2531-4d30-9dd8-737ba949ee96,c3859c82-3451-460a-a8af-f55240f3fec9,Compulsory Close,False,False,76,10,23,19,0,0,0,19,0
1c40f81b-c4d1-4f37-b443-f3826ac22a3f,0c809da1-7eb9-44ac-8fe0-01c4b6a6026a,1,2,1st Innings - Fiji Victorian CC 3rd XI,c3859c82-3451-460a-a8af-f55240f3fec9,692e6f5f-2531-4d30-9dd8-737ba949ee96,End of Match,False,False,82,1,14,12,1,2,0,9,0
48adba9d-7c1b-427d-a16c-fffe2de5f51a,15e24d96-a626-4986-897a-351ba5e6392f,1,1,1st Innings - Northern Socials CC 2s XI,692e6f5f-2531-4d30-9dd8-737ba949ee96,c3859c82-3451-460a-a8af-f55240f3fec9,All Out,False,False,90,10,45,16,6,1,1,8,0
48adba9d-7c1b-427d-a16c-fffe2de5f51a,cdf96d07-8203-4187-a7e2-4b989e975788,1,2,1st Innings - Fiji Victorian CC 3rd XI,c3859c82-3451-460a-a8af-f55240f3fec9,692e6f5f-2531-4d30-9dd8-737ba949ee96,Declared,True,False,206,8,42,23,7,0,4,12,0
48adba9d-7c1b-427d-a16c-fffe2de5f51a,ffa15aaf-e9a0-4496-b8a6-b5485e9abca7,2,3,2nd Innings - Northern Socials CC 2s XI,692e6f5f-2531-4d30-9dd8-737ba949ee96,c3859c82-3451-460a-a8af-f55240f3fec9,End of Match,False,False,148,3,40,11,2,1,4,4,0
48adba9d-7c1b-427d-a16c-fffe2de5f51a,0a7b1e5d-5d89-4e06-a587-49d398ed4ae7,2,4,2nd Innings - Fiji Victorian CC 3rd XI,c3859c82-3451-460a-a8af-f55240f3fec9,692e6f5f-2531-4d30-9dd8-737ba949ee96,End of Match,False,False,0,0,0,0,0,0,0,0,0
62b1157c-fd98-4bdf-821a-adb2f3622f43,1dccddd6-dd31-4d8a-a120-3f0cf7be15ce,1,1,1st Innings - Bellfield Bulls CC 2nd XI,cfc49d2c-a367-40e3-8b51-ba9dd4ba5958,c3859c82-3451-460a-a8af-f55240f3fec9,All Out,False,False,158,10,33.3,15,0,2,0,13,0
62b1157c-fd98-4bdf-821a-adb2f3622f43,9392cade-029a-4191-9c0d-fca5fc219226,1,2,1st Innings - Fiji Victorian CC 3rd XI,c3859c82-3451-460a-a8af-f55240f3fec9,cfc49d2c-a367-40e3-8b51-ba9dd4ba5958,End of Match,False,False,159,9,32.0,59,0,4,3,52,0
81d22cd1-0f50-4e64-be5f-21619407e65d,721f67f0-e5e0-42aa-82de-ac74ffdbb56a,1,1,1st Innings - Royal Park Reds 4th XI,2400d6fd-cae2-4343-8797-35cd1be8aec6,279aa49f-e6a9-4085-9db7-098edac9c90e,Compulsory Close,False,False,141,6,35.0,22,4,0,11,7,0
81d22cd1-0f50-4e64-be5f-21619407e65d,91b461e5-56c5-4ec0-b266-18420050a606,1,2,1st Innings - Fiji Victorian CC 4th XI,279aa49f-e6a9-4085-9db7-098edac9c90e,2400d6fd-cae2-4343-8797-35cd1be8aec6,All Out,False,False,76,10,31.2,11,0,1,5,5,0
