match_id,innings_id,innings_number,innings_order,innings_name,batting_team_id,bowling_team_id,innings_close_type,is_declared,is_follow_on,runs_scored,wickets_fallen,overs_bowled,total_extras,byes_runs,leg_byes_runs,no_balls,wides,penalties
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,1,1,1st Innings - LTUCC  Eagles,2455adf0-f6ca-4803-839d-f58c1cf154dd,b0d2ee4c-be8f-4a75-b138-0740a52970c6,Compulsory Close,False,False,96,6,31.2,8,4,0,4,0,0
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,1,2,1st Innings - Fiji Victorian CC Winter XI,b0d2ee4c-be8f-4a75-b138-0740a52970c6,2455adf0-f6ca-4803-839d-f58c1cf154dd,End of Match,False,False,97,6,19.4,10,4,0,4,2,0
2c40c9b2-40eb-4b37-becf-5c817751a1d6,3ddafb8e-d933-47e2-87f3-eaacf66ef6db,1,1,1st Innings - Darebin Chargers Red,f121f9ce-13ef-4518-b214-4b2066595145,b0d2ee4c-be8f-4a75-b138-0740a52970c6,Compulsory Close,False,False,221,8,35.0,13,3,0,3,7,0
2c40c9b2-40eb-4b37-becf-5c817751a1d6,1d8a7aee-77d7-422d-8a73-4897780b5d8f,1,2,1st Innings - Fiji Victorian CC Winter XI,b0d2ee4c-be8f-4a75-b138-0740a52970c6,f121f9ce-13ef-4518-b214-4b2066595145,End of Match,False,False,192,8,35.0,13,4,4,1,4,0
4db01962-99f7-4b10-a382-6f8f3623144b,48a93c0e-26d3-4306-8718-1def7b60b80c,1,1,1st Innings - Fiji Victorian CC Winter XI,b0d2ee4c-be8f-4a75-b138-0740a52970c6,1977fa7e-f689-4fee-b28e-a9aa92a3a15c,Compulsory Close,False,False,232,8,35.0,48,9,8,2,29,0
4db01962-99f7-4b10-a382-6f8f3623144b,2964b5eb-7871-479c-89fb-1d707f4b0eb5,1,2,1st Innings - Jafari SC,1977fa7e-f689-4fee-b28e-a9aa92a3a15c,b0d2ee4c-be8f-4a75-b138-0740a52970c6,All Out,False,False,124,10,26.1,6,0,1,1,4,0
4e5fbe6d-325e-4a21-9982-f080f8605615,d51bc980-b18b-4ef9-9be4-0546a6b24c4b,1,1,1st Innings - Fiji Victorian CC Winter XI,b0d2ee4c-be8f-4a75-b138-0740a52970c6,8b65ef27-5bb8-46ca-8193-be128c5af1b0,Compulsory Close,False,False,205,8,35.0,27,3,2,1,21,0
4e5fbe6d-325e-4a21-9982-f080f8605615,4210509d-61eb-4b04-ab9f-88e9f8c7713a,1,2,1st Innings - Reservoir Cobras,8b65ef27-5bb8-46ca-8193-be128c5af1b0,b0d2ee4c-be8f-4a75-b138-0740a52970c6,All Out,False,False,130,10,26.3,24,8,2,2,12,0
5ee79fc1-2d4e-41d8-964b-e0c0fa6e412c,6835479c-f9e6-4975-aded-a3ee099f5f96,1,1,1st Innings - Wollert Warriors Senior Men A,64ca7387-df24-4f3b-8090-7bcb2359d4e2,b0d2ee4c-be8f-4a75-b138-0740a52970c6,Compulsory Close,False,False,243,8,35.0,11,1,0,4,6,0
5ee79fc1-2d4e-41d8-964b-e0c0fa6e412c,ef4823cf-6018-4a8c-b870-429ffea3e9c3,1,2,1st Innings - Fiji Victorian CC Winter XI,b0d2ee4c-be8f-4a75-b138-0740a52970c6,64ca7387-df24-4f3b-8090-7bcb2359d4e2,End of Match,False,False,183,9,34.0,12,6,1,1,4,0
6905f946-64a0-4f33-85e0-0d720095fac6,8ceac9bf-6603-4850-a247-e8380b40be39,1,1,1st Innings - Brunswick,7b46ae5e-158e-4ec2-a963-cb1fb6a2106c,b0d2ee4c-be8f-4a75-b138-0740a52970c6,Compulsory Close,False,False,267,8,35.0,21,4,5,4,8,0
