match_id,innings_id,team_id,participant_id,player_name,player_short_name,bat_order,bat_instance,runs_scored,balls_faced,fours_scored,sixes_scored,strike_rate,batting_minutes,dismissal_type_id,dismissal_type,dismissal_text,bowler_participant_id,fielder_participant_id,fielder_assist_participant_id
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,7ae2d735-e3d5-4992-a281-d7f62799444f,Arun Kumar Vishwakarma,A Vishwakarma,1,1,4,9,1,0,44.44,0,2,Caught,c&b: D Sehra,6b74d336-b105-407c-b4ef-f68e2fba7862,6b74d336-b105-407c-b4ef-f68e2fba7862,
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,c589660b-1cc8-43a4-99e5-0c850588ea47,Revanth Cheeti,R Cheeti,2,1,16,43,0,0,37.20,0,4,Bowled,b: R Suravajjula,100b60f9-15ab-4d35-9626-be4212a5d0e2,,
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,6034fc58-72fb-4039-88af-a1f053a9f03b,Sai Achyut Jonnalagadda,S Jonnalagadda,3,1,35,56,2,2,62.50,0,2,Caught,c: A Bodele b: H Kumar,d36a9234-b2b2-44a0-9fa3-3e1527aa4b1c,6b74d336-b105-407c-b4ef-f68e2fba7862,
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,67c01c6a-c4c5-46b1-9a79-3052b6b3c6b7,Aadil Sharma,A Sharma,4,1,11,29,1,0,37.93,0,4,Bowled,b: D Singh,b47cab94-0a21-43b5-ace2-ee06304e1880,,
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,17ab7fff-2788-456c-a7ab-3c5f29d84f87,Moosa Quadri,M Quadri,5,1,21,33,3,0,63.63,0,2,Caught,c: J Bhan b: D Singh,b47cab94-0a21-43b5-ace2-ee06304e1880,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,723a230b-6e7d-40f7-b9b5-29faefd986fa,Pulkit Girdhar,P Girdhar,6,1,0,3,0,0,0.00,0,2,Caught,c: R Suravajjula b: H Kumar,d36a9234-b2b2-44a0-9fa3-3e1527aa4b1c,360868ba-5d2a-4f9f-9f3a-fff5756f3f85,
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,8d1b2adf-4b86-46ee-bc46-59443bfa563d,Alvin Jacob,A Jacob,7,1,1,19,0,0,5.26,0,1,Not Out,not out,,,
05665f84-65b6-4604-a11e-759276140c32,a4b57661-6c81-4285-ba6b-3743db36f54a,2455adf0-f6ca-4803-839d-f58c1cf154dd,00000000-0000-0000-0000-000000000001,********,********,8,1,0,0,0,0,0.00,0,0,Did Not Bat,did not bat,,,
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,cefd9f7d-2787-4b4c-9a13-4e1d0d434ff8,Siddhesh Jitendrabhai vadapalli,S vadapalli,1,1,43,45,6,0,95.55,0,3,LBW,lbw: M Quadri,17ab7fff-2788-456c-a7ab-3c5f29d84f87,,
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,7512873c-b6b6-49fe-80ff-3733b5abd044,Mohaneesh Pitre,M Pitre,2,1,5,24,1,0,20.83,0,2,Caught,c: S Jonnalagadda b: P Girdhar,723a230b-6e7d-40f7-b9b5-29faefd986fa,6034fc58-72fb-4039-88af-a1f053a9f03b,
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,f6dd9552-fbc5-4490-ac27-b50ff948f8f5,Priyanshu Tomar,P Tomar,3,1,21,23,2,1,91.30,0,2,Caught,c:  b: P Girdhar,723a230b-6e7d-40f7-b9b5-29faefd986fa,,
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,360868ba-5d2a-4f9f-9f3a-fff5756f3f85,Shandil Bhan,S Bhan,4,1,0,3,0,0,0.00,0,4,Bowled,b: M Quadri,17ab7fff-2788-456c-a7ab-3c5f29d84f87,,
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,b47cab94-0a21-43b5-ace2-ee06304e1880,Danny Singh,D Singh,5,1,10,13,1,0,76.92,0,1,Not Out,not out,,,
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,f4eec6b0-c7ff-4771-b4f1-8ea5865e1186,Akshat Bodele,A Bodele,6,1,1,3,0,0,33.33,0,4,Bowled,b: R Cheeti,c589660b-1cc8-43a4-99e5-0c850588ea47,,
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,7cccf3c2-52d5-4dfc-91c8-9664f27ac72b,Jai Bhan,J Bhan,7,1,7,9,1,0,77.77,0,4,Bowled,b: R Cheeti,c589660b-1cc8-43a4-99e5-0c850588ea47,,
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,6b74d336-b105-407c-b4ef-f68e2fba7862,Damandeep Sehra,D Sehra,8,1,0,2,0,0,0.00,0,1,Not Out,not out,,,
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,400e4752-f236-4ca7-93e9-fd8ebee6735e,Siddhanth Chaurasiya,S Chaurasiya,9,1,0,0,0,0,0.00,0,0,Did Not Bat,did not bat,,,
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,d36a9234-b2b2-44a0-9fa3-3e1527aa4b1c,Harish Kumar,H Kumar,10,1,0,0,0,0,0.00,0,0,Did Not Bat,did not bat,,,
05665f84-65b6-4604-a11e-759276140c32,1a82d3c4-ffa7-4aeb-aba6-7b103a7187aa,b0d2ee4c-be8f-4a75-b138-0740a52970c6,100b60f9-15ab-4d35-9626-be4212a5d0e2,Rama Suravajjula,R Suravajjula,11,1,0,0,0,0,0.00,0,0,Did Not Bat,did not bat,,,
2c40c9b2-40eb-4b37-becf-5c817751a1d6,3ddafb8e-d933-47e2-87f3-eaacf66ef6db,f121f9ce-13ef-4518-b214-4b2066595145,3749d7ce-99cc-451f-adc6-e25e53988a21,Digvijay Digvijay,D Digvijay,1,1,21,14,4,0,150.00,0,2,Caught,c:  b: K Bhan,cefd9f7d-2787-4b4c-9a13-4e1d0d434ff8,,
2c40c9b2-40eb-4b37-becf-5c817751a1d6,3ddafb8e-d933-47e2-87f3-eaacf66ef6db,f121f9ce-13ef-4518-b214-4b2066595145,0069e210-49dc-40e4-b16a-26fbe0e7b120,Karthik Singh,K Singh,2,1,40,25,7,1,160.00,0,2,Caught,c:  b: S Bhan,360868ba-5d2a-4f9f-9f3a-fff5756f3f85,,
